41.683277,-0.889288,0.03,-0.05,1.06
41.683277,-0.889288,0.02,-0.10,1.00
41.683273,-0.889262,-0.03,-0.19,1.02
41.683273,-0.889262,-0.03,-0.18,1.02
41.683261,-0.889289,0.00,-0.02,0.94
41.683261,-0.889289,-0.15,0.00,0.98
41.683315,-0.889071,-0.06,-0.03,1.06
41.683315,-0.889071,0.02,0.00,0.84
41.683361,-0.888925,0.03,-0.02,0.84
41.683361,-0.888925,0.00,-0.08,1.21
41.683441,-0.888856,0.02,0.05,0.82
41.683441,-0.888856,-0.03,0.18,1.19
41.683444,-0.888998,0.08,-0.02,1.05
41.683444,-0.888998,-0.05,-0.02,1.11
41.683471,-0.889019,-0.03,-0.19,1.08
41.683471,-0.889019,-0.02,-0.03,0.94
41.683456,-0.889014,-0.05,0.02,1.10
41.683456,-0.889014,0.00,0.05,0.74
41.683437,-0.888816,-0.11,0.00,1.06
41.683437,-0.888816,-0.11,-0.08,0.95
41.683425,-0.888794,-0.05,0.00,0.94
41.683425,-0.888794,-0.15,-0.27,0.98
41.683410,-0.888791,-0.06,-0.03,0.82
41.683410,-0.888791,-0.13,-0.18,1.13
41.683383,-0.888790,-0.02,-0.05,0.76
41.683383,-0.888790,-0.10,0.00,1.42
41.683319,-0.889015,-0.16,-0.16,0.95
41.683319,-0.889015,-0.02,0.21,1.23
41.683280,-0.889112,-0.03,-0.10,1.00
41.683280,-0.889112,-0.05,0.11,1.08
41.683277,-0.889187,-0.15,-0.26,0.98
41.683277,-0.889187,0.00,0.05,1.06
41.683265,-0.889272,-0.15,-0.16,0.97
41.683265,-0.889272,-0.03,0.00,1.05
41.683219,-0.889378,-0.11,-0.11,1.15
41.683219,-0.889378,0.00,-0.03,0.94
41.683177,-0.889352,-0.06,0.10,1.29
41.683177,-0.889352,-0.08,-0.10,0.82
41.683296,-0.889417,-0.11,-0.06,1.35
41.683296,-0.889417,-0.06,-0.13,0.87
41.683357,-0.889433,0.00,0.19,1.16
41.683357,-0.889433,-0.02,-0.02,0.84
41.683391,-0.889434,0.02,0.15,1.08
41.683391,-0.889434,-0.03,0.08,0.81
41.683395,-0.889459,-0.02,0.10,1.10
41.683395,-0.889459,-0.05,-0.06,0.81
41.683425,-0.889453,-0.05,0.00,1.06
41.683425,-0.889453,-0.02,-0.10,0.81
41.683456,-0.889459,-0.06,-0.10,1.11
41.683456,-0.889459,-0.05,-0.13,0.76
41.683475,-0.889460,-0.02,0.00,1.10
41.683475,-0.889460,0.02,-0.13,0.98
41.683502,-0.889461,-0.03,-0.08,0.92
41.683502,-0.889461,0.03,-0.27,1.03
41.683528,-0.889465,-0.02,-0.05,0.82
41.683528,-0.889465,0.05,-0.24,1.08
41.683551,-0.889471,-0.08,-0.06,0.69
41.683551,-0.889471,-0.03,-0.18,1.34
41.683567,-0.889471,0.03,-0.05,0.79
41.683567,-0.889471,-0.08,0.00,1.34
41.683593,-0.889474,-0.02,-0.23,1.03
41.683593,-0.889474,-0.06,0.02,1.05
41.683624,-0.889476,-0.03,-0.19,0.98
41.683624,-0.889476,-0.08,-0.02,0.85
41.683654,-0.889480,0.03,0.06,1.23
41.683654,-0.889480,-0.11,-0.05,0.84
41.683696,-0.889481,-0.06,-0.02,1.05
41.683696,-0.889481,-0.08,-0.03,0.79
41.683738,-0.889481,-0.05,0.03,0.97
41.683738,-0.889481,-0.15,-0.18,1.05
41.683738,-0.889451,-0.11,-0.03,0.85
41.683738,-0.889451,-0.19,-0.16,1.13
41.683757,-0.889458,-0.10,0.02,0.82
41.683757,-0.889458,-0.03,0.26,1.13
41.683795,-0.889470,-0.10,-0.02,1.08
41.683795,-0.889470,-0.08,0.08,1.06
41.683826,-0.889459,-0.13,-0.16,0.94
41.683826,-0.889459,0.05,-0.03,0.90
41.683853,-0.889451,-0.02,0.16,1.13
41.683853,-0.889451,-0.02,-0.10,0.81
41.683879,-0.889435,-0.02,0.05,1.03
41.683879,-0.889435,0.03,-0.05,0.95
41.683876,-0.889440,-0.02,0.03,0.87
41.683876,-0.889440,0.00,-0.29,0.98
41.683898,-0.889433,0.00,0.05,0.73
41.683898,-0.889433,-0.02,-0.15,1.35
41.683925,-0.889422,0.05,-0.16,0.89
41.683925,-0.889422,-0.03,-0.19,1.02
41.683959,-0.889387,0.00,-0.35,0.77
41.683959,-0.889387,-0.08,-0.13,0.95
41.683979,-0.889391,-0.08,-0.03,1.11
41.683979,-0.889391,-0.18,-0.24,0.92
41.683998,-0.889401,0.00,-0.05,0.77
41.683998,-0.889401,-0.11,-0.26,1.00
41.684017,-0.889428,-0.05,0.06,0.79
41.684017,-0.889428,-0.15,-0.23,0.95
41.684032,-0.889423,-0.02,0.03,0.71
41.684032,-0.889423,-0.05,0.10,1.16
41.684047,-0.889387,-0.05,0.00,0.87
41.684047,-0.889387,0.02,0.15,1.08
41.684051,-0.889363,-0.08,-0.26,0.90
41.684051,-0.889363,0.02,0.05,1.06
41.684055,-0.889340,-0.16,-0.26,0.89
41.684055,-0.889340,0.03,0.08,1.05
41.684059,-0.889307,-0.15,-0.13,1.16
41.684059,-0.889307,0.00,0.05,0.92
41.684062,-0.889262,-0.08,0.02,1.19
41.684062,-0.889262,-0.03,0.00,0.84
41.684047,-0.889224,0.03,0.19,1.16
41.684047,-0.889224,-0.06,-0.15,0.84
41.684043,-0.889188,-0.03,0.18,1.15
41.684043,-0.889188,-0.05,-0.08,0.79
41.684043,-0.889149,0.00,-0.03,1.10
41.684043,-0.889149,-0.05,-0.08,0.82
41.684051,-0.889111,0.00,0.05,1.03
41.684051,-0.889111,-0.03,-0.11,0.97
41.684074,-0.889078,-0.02,-0.03,0.94
41.684074,-0.889078,0.03,-0.13,0.97
41.684097,-0.889042,-0.05,-0.05,0.87
41.684097,-0.889042,-0.18,-0.55,1.02
41.684123,-0.889003,-0.06,-0.11,0.84
41.684123,-0.889003,-0.03,-0.27,1.16
41.684150,-0.888967,-0.02,-0.15,0.90
41.684150,-0.888967,-0.02,-0.11,0.97
41.684154,-0.888937,-0.08,-0.24,0.95
41.684154,-0.888937,-0.02,0.03,0.92
41.684143,-0.888913,0.00,-0.06,1.37
41.684143,-0.888913,-0.05,-0.06,0.87
41.684047,-0.888915,0.02,0.18,1.10
41.684047,-0.888915,-0.05,0.05,0.74
